Clase,Pieza,Superficie_1,Superficie_2,Superficie_3,Superficie_4,Superficie_5,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
V,6,Lingual,ninguna,ninguna,ninguna,ninguna,19.5,limpia,Bulk,Bulk,3.25,297.19,13.52,0.02,Equiobturado
I,8,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Bulk,1.5,60.0,4.29,-0.15,Subobturado
V,5,Lingual,ninguna,ninguna,ninguna,ninguna,5.25,limpia,Estratificacion,Bulk,3.5,197.66,20.36,0.15,Sobreobturado
II,29,Mesial,Oclusal,Bucal,ninguna,ninguna,27.5,limpia,Bulk,Compuesta,1.25,67.85,6.54,0.04,Equiobturado
I,28,Lingual,ninguna,ninguna,ninguna,ninguna,8.75,limpia,Bulk,Bulk,2.25,142.0,23.05,-0.06,Subobturado
VI,25,Incisal,ninguna,ninguna,ninguna,ninguna,15.0,limpia,Estratificacion,Bulk,3.5,224.67,40.41,0.09,Equiobturado
II,12,Distal,Oclusal,Lingual,ninguna,ninguna,32.0,con_tejido,Bulk,Compuesta,3.75,276.63,35.71,0.19,Sobreobturado
I,20,Bucal,ninguna,ninguna,ninguna,ninguna,11.5,limpia,Estratificacion,Bulk,3.25,211.75,15.33,0.04,Equiobturado
II,19,Mesial,Distal,Oclusal,Lingual,ninguna,82.25,con_tejido,Bulk,Fluida,1.25,629.0,40.14,0.08,Equiobturado
II,31,Distal,Oclusal,ninguna,ninguna,ninguna,54.0,limpia,Estratificacion,Fluida,3.25,309.5,47.15,0.01,Equiobturado
V,13,Lingual,ninguna,ninguna,ninguna,ninguna,17.75,limpia,Bulk,Con fibra de vidrio,2.25,217.97,35.55,-0.15,Subobturado
II,20,Mesial,Oclusal,Bucal,ninguna,ninguna,41.75,limpia,Bulk,Compuesta,1.75,187.57,12.74,0.17,Sobreobturado
V,2,Bucal,ninguna,ninguna,ninguna,ninguna,38.5,con_tejido,Estratificacion,Bulk,1.75,193.48,9.03,0.18,Sobreobturado
VI,11,Incisal,ninguna,ninguna,ninguna,ninguna,22.75,limpia,Bulk,Con fibra de vidrio,2.75,220.49,14.96,0.03,Equiobturado
II,2,Mesial,Distal,Oclusal,Bucal,ninguna,94.25,limpia,Bulk,Compuesta,2.25,757.0,71.62,0.01,Equiobturado
I,11,Oclusal,ninguna,ninguna,ninguna,ninguna,5.25,con_tejido,Estratificacion,Bulk,2.0,116.88,4.05,-0.04,Subobturado
II,18,Mesial,Distal,Oclusal,Bucal,Lingual,104.5,limpia,Estratificacion,Con fibra de vidrio,2.25,967.22,90.62,0.17,Sobreobturado
II,5,Distal,Oclusal,ninguna,ninguna,ninguna,34.25,limpia,Bulk,Con fibra de vidrio,1.75,90.28,15.91,0.04,Equiobturado
I,21,Oclusal,ninguna,ninguna,ninguna,ninguna,6.5,limpia,Estratificacion,Bulk,3.5,178.0,28.29,-0.17,Subobturado
II,13,Mesial,Oclusal,Lingual,ninguna,ninguna,45.75,con_tejido,Estratificacion,Compuesta,2.25,247.43,33.73,0.05,Equiobturado
I,2,Bucal,ninguna,ninguna,ninguna,ninguna,13.75,limpia,Estratificacion,Con fibra de vidrio,1.5,188.39,16.52,0.05,Equiobturado
II,5,Distal,Oclusal,Bucal,ninguna,ninguna,27.75,limpia,Bulk,Con fibra de vidrio,4.0,270.06,37.16,0.13,Sobreobturado
I,12,Lingual,ninguna,ninguna,ninguna,ninguna,7.25,con_tejido,Bulk,Fluida,2.0,117.25,11.16,0.05,Equiobturado
V,3,Bucal,ninguna,ninguna,ninguna,ninguna,52.0,con_tejido,Bulk,Compuesta,3.0,340.71,18.64,-0.03,Subobturado
VI,25,Incisal,ninguna,ninguna,ninguna,ninguna,6.75,con_tejido,Estratificacion,Con fibra de vidrio,1.25,61.47,5.48,-0.04,Subobturado
I,12,Oclusal,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Bulk,Fluida,4.0,223.0,23.18,-0.05,Subobturado
II,30,Distal,Oclusal,ninguna,ninguna,ninguna,42.0,limpia,Estratificacion,Fluida,1.25,213.5,13.29,0.03,Equiobturado
II,4,Mesial,Oclusal,ninguna,ninguna,ninguna,44.75,con_tejido,Bulk,Bulk,2.5,149.68,23.18,-0.08,Subobturado
III,6,Mesial,Lingual,ninguna,ninguna,ninguna,9.25,con_tejido,Estratificacion,Bulk,3.5,127.81,10.85,-0.18,Subobturado
I,22,Oclusal,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Bulk,Con fibra de vidrio,2.75,112.5,16.24,0.05,Equiobturado
I,27,Lingual,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Fluida,2.25,116.88,17.48,0.19,Sobreobturado
V,18,Bucal,ninguna,ninguna,ninguna,ninguna,27.5,con_tejido,Bulk,Bulk,2.25,202.59,30.33,0.07,Equiobturado
I,20,Oclusal,ninguna,ninguna,ninguna,ninguna,3.25,limpia,Estratificacion,Fluida,3.5,148.75,17.18,0.1,Equiobturado
II,15,Mesial,Distal,Oclusal,Lingual,ninguna,112.75,limpia,Estratificacion,Bulk,1.0,731.0,114.37,-0.19,Subobturado
III,8,Mesial,Lingual,ninguna,ninguna,ninguna,12.5,limpia,Bulk,Bulk,3.5,154.62,19.73,-0.07,Subobturado
II,21,Distal,Oclusal,Bucal,ninguna,ninguna,41.0,limpia,Bulk,Bulk,1.25,146.69,7.38,0.13,Sobreobturado
I,4,Bucal,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Compuesta,3.5,171.25,25.31,-0.13,Subobturado
I,3,Oclusal,ninguna,ninguna,ninguna,ninguna,6.5,con_tejido,Estratificacion,Con fibra de vidrio,4.0,298.21,52.28,-0.14,Subobturado
I,12,Lingual,ninguna,ninguna,ninguna,ninguna,7.0,con_tejido,Bulk,Bulk,2.75,148.75,14.47,-0.19,Subobturado
V,7,Lingual,ninguna,ninguna,ninguna,ninguna,10.75,limpia,Bulk,Bulk,3.75,258.59,26.35,-0.17,Subobturado
II,29,Mesial,Oclusal,Bucal,ninguna,ninguna,42.5,limpia,Estratificacion,Compuesta,3.0,283.2,14.33,0.09,Equiobturado
V,11,Bucal,ninguna,ninguna,ninguna,ninguna,15.5,con_tejido,Bulk,Compuesta,3.25,264.69,30.55,-0.11,Subobturado
II,15,Mesial,Distal,Oclusal,Bucal,Lingual,138.5,con_tejido,Bulk,Fluida,3.25,1218.33,53.76,0.01,Equiobturado
I,1,Oclusal,ninguna,ninguna,ninguna,ninguna,3.25,limpia,Bulk,Bulk,3.75,143.12,16.76,-0.19,Subobturado
II,19,Mesial,Distal,Oclusal,ninguna,ninguna,57.25,limpia,Estratificacion,Bulk,1.5,345.38,60.91,0.19,Sobreobturado
III,25,Distal,Lingual,ninguna,ninguna,ninguna,13.75,con_tejido,Estratificacion,Fluida,1.5,98.94,4.47,0.13,Sobreobturado
II,15,Mesial,Distal,Oclusal,Bucal,ninguna,109.0,con_tejido,Estratificacion,Bulk,1.75,776.0,69.35,-0.07,Subobturado
III,22,Mesial,Lingual,ninguna,ninguna,ninguna,10.25,con_tejido,Bulk,Fluida,1.25,61.81,3.59,0.15,Sobreobturado
II,30,Mesial,Distal,Oclusal,Lingual,ninguna,97.5,con_tejido,Bulk,Compuesta,3.25,850.0,120.66,0.12,Sobreobturado
V,20,Bucal,ninguna,ninguna,ninguna,ninguna,7.25,limpia,Bulk,Con fibra de vidrio,2.5,148.91,25.97,0.13,Sobreobturado
II,17,Mesial,Oclusal,ninguna,ninguna,ninguna,45.75,con_tejido,Bulk,Compuesta,2.75,212.99,21.58,0.16,Sobreobturado
III,10,Mesial,Lingual,ninguna,ninguna,ninguna,14.75,limpia,Bulk,Con fibra de vidrio,3.25,164.94,18.93,0.07,Equiobturado
II,20,Distal,Oclusal,Bucal,ninguna,ninguna,33.75,con_tejido,Bulk,Compuesta,1.5,122.6,15.78,0.16,Sobreobturado
II,19,Mesial,Oclusal,Lingual,ninguna,ninguna,50.5,con_tejido,Estratificacion,Con fibra de vidrio,1.5,321.75,35.08,-0.04,Subobturado
V,29,Lingual,ninguna,ninguna,ninguna,ninguna,4.0,con_tejido,Bulk,Bulk,1.25,41.25,7.4,0.13,Sobreobturado
III,8,Distal,Lingual,ninguna,ninguna,ninguna,9.75,con_tejido,Bulk,Fluida,3.0,115.44,17.2,0.05,Equiobturado
I,28,Lingual,ninguna,ninguna,ninguna,ninguna,3.25,con_tejido,Bulk,Con fibra de vidrio,2.5,103.75,6.45,-0.05,Subobturado
II,15,Mesial,Distal,Oclusal,Lingual,ninguna,109.0,con_tejido,Bulk,Compuesta,3.0,876.0,61.08,0.15,Sobreobturado
II,29,Distal,Oclusal,Lingual,ninguna,ninguna,45.0,con_tejido,Bulk,Con fibra de vidrio,2.0,224.8,13.33,0.13,Sobreobturado
II,32,Mesial,Oclusal,Lingual,ninguna,ninguna,59.0,limpia,Bulk,Compuesta,2.0,330.43,29.69,-0.06,Subobturado
II,19,Distal,Oclusal,Lingual,ninguna,ninguna,62.5,con_tejido,Estratificacion,Con fibra de vidrio,3.5,503.75,65.13,0.06,Equiobturado
V,24,Bucal,ninguna,ninguna,ninguna,ninguna,12.5,con_tejido,Estratificacion,Bulk,3.5,256.56,42.75,0.04,Equiobturado
II,3,Mesial,Oclusal,Lingual,ninguna,ninguna,78.75,limpia,Estratificacion,Con fibra de vidrio,1.5,420.62,43.77,-0.1,Subobturado
II,3,Mesial,Distal,Oclusal,Lingual,ninguna,80.5,con_tejido,Estratificacion,Compuesta,1.5,642.0,28.64,0.09,Equiobturado
II,31,Distal,Oclusal,ninguna,ninguna,ninguna,46.5,con_tejido,Bulk,Bulk,3.75,302.0,10.34,0.0,Equiobturado
III,8,Distal,Lingual,ninguna,ninguna,ninguna,11.25,con_tejido,Bulk,Fluida,2.0,94.81,7.0,0.17,Sobreobturado
II,17,Distal,Oclusal,ninguna,ninguna,ninguna,51.5,con_tejido,Estratificacion,Fluida,1.75,199.64,25.78,0.17,Sobreobturado
V,13,Lingual,ninguna,ninguna,ninguna,ninguna,12.5,con_tejido,Bulk,Con fibra de vidrio,3.75,272.81,9.22,0.05,Equiobturado
II,4,Distal,Oclusal,Lingual,ninguna,ninguna,40.75,limpia,Bulk,Compuesta,3.0,272.98,8.81,0.2,Sobreobturado
I,9,Oclusal,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Bulk,Bulk,2.25,86.25,12.4,-0.16,Subobturado
II,20,Mesial,Oclusal,ninguna,ninguna,ninguna,28.5,con_tejido,Estratificacion,Con fibra de vidrio,2.75,104.3,8.18,0.08,Equiobturado
II,32,Distal,Oclusal,ninguna,ninguna,ninguna,41.0,con_tejido,Bulk,Bulk,2.5,190.22,12.79,-0.08,Subobturado
II,18,Mesial,Distal,Oclusal,Bucal,Lingual,102.0,limpia,Estratificacion,Compuesta,3.5,1081.11,154.22,0.02,Equiobturado
II,5,Distal,Oclusal,ninguna,ninguna,ninguna,31.5,limpia,Bulk,Compuesta,2.0,89.45,6.23,0.02,Equiobturado
II,13,Mesial,Distal,Oclusal,ninguna,ninguna,46.25,con_tejido,Estratificacion,Con fibra de vidrio,3.0,305.1,35.73,0.05,Equiobturado
II,15,Mesial,Oclusal,Bucal,ninguna,ninguna,73.25,limpia,Estratificacion,Con fibra de vidrio,2.75,488.88,31.73,0.12,Sobreobturado
II,14,Distal,Oclusal,Lingual,ninguna,ninguna,77.5,limpia,Estratificacion,Compuesta,2.5,486.25,21.06,0.13,Sobreobturado
V,5,Lingual,ninguna,ninguna,ninguna,ninguna,16.25,limpia,Estratificacion,Compuesta,1.0,124.53,20.48,-0.17,Subobturado
V,12,Lingual,ninguna,ninguna,ninguna,ninguna,9.75,limpia,Bulk,Fluida,1.5,104.22,8.71,0.02,Equiobturado
I,32,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,limpia,Bulk,Con fibra de vidrio,3.5,130.0,6.25,-0.06,Subobturado
V,30,Bucal,ninguna,ninguna,ninguna,ninguna,16.5,con_tejido,Bulk,Fluida,1.5,105.45,15.22,-0.06,Subobturado
V,7,Bucal,ninguna,ninguna,ninguna,ninguna,13.75,limpia,Bulk,Bulk,2.0,169.22,14.23,0.16,Sobreobturado
I,8,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Bulk,Fluida,3.75,165.0,10.04,0.17,Sobreobturado
IV,7,Mesial,Bucal,Lingual,ninguna,ninguna,8.0,limpia,Estratificacion,Bulk,2.0,116.0,5.19,-0.02,Subobturado
I,30,Bucal,ninguna,ninguna,ninguna,ninguna,2.75,limpia,Bulk,Con fibra de vidrio,1.75,89.29,4.31,0.05,Equiobturado
III,11,Mesial,Lingual,ninguna,ninguna,ninguna,11.75,limpia,Bulk,Compuesta,1.25,74.19,5.0,0.1,Equiobturado
II,1,Distal,Oclusal,ninguna,ninguna,ninguna,40.25,con_tejido,Bulk,Compuesta,3.5,219.26,13.29,-0.12,Subobturado
IV,11,Distal,Bucal,Lingual,ninguna,ninguna,17.5,con_tejido,Bulk,Fluida,4.0,290.12,43.67,0.02,Equiobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,109.25,limpia,Estratificacion,Compuesta,3.5,917.0,89.41,0.02,Equiobturado
II,14,Mesial,Distal,Oclusal,ninguna,ninguna,48.75,con_tejido,Bulk,Compuesta,3.75,473.12,19.06,0.16,Sobreobturado
II,31,Mesial,Distal,Oclusal,Bucal,Lingual,136.25,limpia,Bulk,Compuesta,1.75,1058.33,179.04,0.15,Sobreobturado
I,5,Bucal,ninguna,ninguna,ninguna,ninguna,6.0,limpia,Bulk,Fluida,3.25,162.25,7.93,-0.1,Subobturado
II,2,Mesial,Oclusal,Lingual,ninguna,ninguna,74.75,con_tejido,Estratificacion,Compuesta,2.25,459.12,22.84,-0.13,Subobturado
II,28,Mesial,Distal,Oclusal,ninguna,ninguna,34.0,limpia,Estratificacion,Compuesta,3.25,251.81,16.16,0.14,Sobreobturado
V,26,Bucal,ninguna,ninguna,ninguna,ninguna,17.0,limpia,Estratificacion,Con fibra de vidrio,3.75,309.38,23.26,-0.13,Subobturado
II,29,Distal,Oclusal,ninguna,ninguna,ninguna,43.0,limpia,Bulk,Con fibra de vidrio,1.0,94.4,4.33,0.08,Equiobturado
V,2,Lingual,ninguna,ninguna,ninguna,ninguna,58.5,limpia,Estratificacion,Compuesta,1.75,254.2,45.7,-0.13,Subobturado
V,30,Bucal,ninguna,ninguna,ninguna,ninguna,11.25,con_tejido,Bulk,Fluida,1.25,68.26,4.61,0.2,Sobreobturado
II,5,Mesial,Oclusal,Lingual,ninguna,ninguna,45.0,limpia,Bulk,Con fibra de vidrio,3.25,316.05,30.34,-0.15,Subobturado
II,4,Distal,Oclusal,Lingual,ninguna,ninguna,44.75,limpia,Bulk,Fluida,3.5,332.84,41.78,0.06,Equiobturado
III,27,Distal,Lingual,ninguna,ninguna,ninguna,10.75,limpia,Estratificacion,Compuesta,1.0,57.69,2.03,0.1,Equiobturado
V,9,Bucal,ninguna,ninguna,ninguna,ninguna,14.0,limpia,Estratificacion,Fluida,3.0,236.25,20.77,0.08,Equiobturado
I,3,Lingual,ninguna,ninguna,ninguna,ninguna,8.75,limpia,Bulk,Fluida,1.25,116.07,7.53,-0.16,Subobturado
I,7,Oclusal,ninguna,ninguna,ninguna,ninguna,3.25,con_tejido,Estratificacion,Bulk,2.25,90.62,6.95,0.12,Sobreobturado
II,29,Mesial,Oclusal,ninguna,ninguna,ninguna,34.25,limpia,Estratificacion,Fluida,2.0,98.53,13.21,0.13,Sobreobturado
II,5,Distal,Oclusal,ninguna,ninguna,ninguna,31.0,con_tejido,Bulk,Fluida,2.5,104.3,11.6,0.07,Equiobturado
III,22,Distal,Lingual,ninguna,ninguna,ninguna,15.5,con_tejido,Bulk,Fluida,1.75,121.62,9.4,-0.18,Subobturado
V,16,Bucal,ninguna,ninguna,ninguna,ninguna,15.75,limpia,Bulk,Bulk,1.5,152.97,7.84,0.2,Sobreobturado
II,30,Mesial,Distal,Oclusal,Bucal,Lingual,120.75,limpia,Bulk,Compuesta,3.5,1164.44,82.42,-0.14,Subobturado
V,12,Bucal,ninguna,ninguna,ninguna,ninguna,12.25,con_tejido,Bulk,Compuesta,2.5,189.53,18.81,0.05,Equiobturado
II,4,Distal,Oclusal,Lingual,ninguna,ninguna,26.0,limpia,Bulk,Fluida,1.5,77.34,4.25,-0.06,Subobturado
II,18,Mesial,Distal,Oclusal,Bucal,ninguna,107.75,con_tejido,Estratificacion,Con fibra de vidrio,2.75,851.0,144.83,0.05,Equiobturado
II,15,Mesial,Distal,Oclusal,Bucal,ninguna,98.0,con_tejido,Estratificacion,Bulk,3.0,832.0,126.72,0.13,Sobreobturado
II,30,Mesial,Oclusal,Lingual,ninguna,ninguna,73.75,con_tejido,Bulk,Fluida,2.25,455.62,36.66,-0.14,Subobturado
II,28,Mesial,Oclusal,Bucal,ninguna,ninguna,49.25,con_tejido,Bulk,Compuesta,1.75,231.37,31.0,-0.18,Subobturado
II,14,Mesial,Distal,Oclusal,Lingual,ninguna,107.75,con_tejido,Estratificacion,Fluida,2.5,831.0,38.5,0.2,Sobreobturado
I,8,Bucal,ninguna,ninguna,ninguna,ninguna,4.25,con_tejido,Bulk,Compuesta,3.75,160.62,20.85,0.13,Sobreobturado
I,7,Lingual,ninguna,ninguna,ninguna,ninguna,4.75,limpia,Bulk,Con fibra de vidrio,1.5,90.62,5.62,0.05,Equiobturado
I,4,Oclusal,ninguna,ninguna,ninguna,ninguna,4.5,limpia,Estratificacion,Compuesta,2.25,103.75,5.58,-0.05,Subobturado
V,11,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Bulk,Con fibra de vidrio,2.75,142.81,23.77,-0.16,Subobturado
IV,22,Mesial,Bucal,Lingual,ninguna,ninguna,48.0,con_tejido,Estratificacion,Bulk,3.25,339.99,47.57,0.19,Sobreobturado
II,31,Mesial,Distal,Oclusal,ninguna,ninguna,76.5,limpia,Estratificacion,Con fibra de vidrio,3.75,570.25,48.75,-0.1,Subobturado
I,8,Bucal,ninguna,ninguna,ninguna,ninguna,5.25,con_tejido,Estratificacion,Compuesta,1.5,99.38,8.16,-0.2,Subobturado
I,30,Oclusal,ninguna,ninguna,ninguna,ninguna,15.25,con_tejido,Estratificacion,Bulk,1.75,223.21,26.99,0.12,Sobreobturado
IV,23,Mesial,Bucal,Lingual,ninguna,ninguna,10.0,limpia,Estratificacion,Fluida,3.0,193.76,20.57,0.19,Sobreobturado
II,13,Distal,Oclusal,Bucal,ninguna,ninguna,37.5,con_tejido,Bulk,Bulk,1.5,144.5,12.15,-0.03,Subobturado
II,31,Distal,Oclusal,Lingual,ninguna,ninguna,61.5,limpia,Bulk,Con fibra de vidrio,3.0,465.25,16.01,0.01,Equiobturado
V,3,Bucal,ninguna,ninguna,ninguna,ninguna,46.5,limpia,Estratificacion,Bulk,3.5,366.52,29.95,-0.14,Subobturado
II,15,Mesial,Distal,Oclusal,Lingual,ninguna,90.0,limpia,Bulk,Compuesta,1.25,660.0,102.36,-0.15,Subobturado
V,10,Bucal,ninguna,ninguna,ninguna,ninguna,4.0,con_tejido,Bulk,Compuesta,1.75,73.75,2.84,0.15,Sobreobturado
II,19,Mesial,Distal,Oclusal,Bucal,ninguna,83.0,limpia,Estratificacion,Fluida,2.75,752.0,29.85,0.14,Sobreobturado
II,18,Mesial,Distal,Oclusal,Lingual,ninguna,101.25,limpia,Bulk,Con fibra de vidrio,2.75,825.0,94.36,-0.19,Subobturado
I,30,Lingual,ninguna,ninguna,ninguna,ninguna,9.5,con_tejido,Estratificacion,Bulk,2.25,199.11,33.49,-0.18,Subobturado
II,29,Distal,Oclusal,Lingual,ninguna,ninguna,26.5,limpia,Bulk,Bulk,1.5,80.26,3.42,-0.18,Subobturado
II,4,Distal,Oclusal,Bucal,ninguna,ninguna,47.0,con_tejido,Estratificacion,Bulk,1.75,218.23,26.19,0.01,Equiobturado
I,11,Oclusal,ninguna,ninguna,ninguna,ninguna,2.5,limpia,Estratificacion,Con fibra de vidrio,4.0,138.75,15.91,0.12,Sobreobturado
II,16,Mesial,Distal,Oclusal,ninguna,ninguna,49.75,limpia,Bulk,Bulk,3.0,360.55,30.29,0.19,Sobreobturado
II,21,Distal,Oclusal,Lingual,ninguna,ninguna,32.75,limpia,Estratificacion,Bulk,2.75,208.01,33.56,-0.1,Subobturado
II,14,Mesial,Distal,Oclusal,Lingual,ninguna,88.0,limpia,Estratificacion,Compuesta,2.5,752.0,55.8,0.0,Equiobturado
II,31,Mesial,Distal,Oclusal,Bucal,ninguna,114.0,con_tejido,Estratificacion,Compuesta,4.0,976.0,50.94,0.01,Equiobturado
VI,8,Incisal,ninguna,ninguna,ninguna,ninguna,11.75,con_tejido,Bulk,Con fibra de vidrio,2.25,140.38,9.94,0.08,Equiobturado
I,27,Oclusal,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Compuesta,2.75,134.38,23.96,-0.11,Subobturado
II,17,Mesial,Oclusal,Lingual,ninguna,ninguna,44.25,limpia,Bulk,Con fibra de vidrio,1.75,246.75,15.34,0.15,Sobreobturado
II,13,Mesial,Oclusal,Bucal,ninguna,ninguna,34.0,con_tejido,Bulk,Con fibra de vidrio,2.0,160.56,9.26,-0.01,Subobturado
II,18,Mesial,Oclusal,Bucal,ninguna,ninguna,48.0,limpia,Bulk,Con fibra de vidrio,3.75,470.5,79.68,0.03,Equiobturado
II,3,Distal,Oclusal,Bucal,ninguna,ninguna,49.0,con_tejido,Bulk,Bulk,2.0,351.5,54.48,0.06,Equiobturado
V,28,Lingual,ninguna,ninguna,ninguna,ninguna,6.75,limpia,Bulk,Compuesta,2.75,161.09,25.14,0.01,Equiobturado
IV,11,Distal,Bucal,Lingual,ninguna,ninguna,41.5,con_tejido,Estratificacion,Fluida,1.5,193.76,14.58,0.04,Equiobturado
V,30,Bucal,ninguna,ninguna,ninguna,ninguna,28.5,limpia,Bulk,Con fibra de vidrio,2.5,226.88,16.24,0.18,Sobreobturado
V,12,Lingual,ninguna,ninguna,ninguna,ninguna,7.25,con_tejido,Estratificacion,Con fibra de vidrio,1.25,67.66,7.83,0.16,Sobreobturado
I,31,Lingual,ninguna,ninguna,ninguna,ninguna,2.5,con_tejido,Estratificacion,Con fibra de vidrio,1.5,67.86,5.5,0.07,Equiobturado
V,30,Lingual,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Fluida,2.0,115.31,14.72,0.07,Equiobturado
IV,25,Distal,Bucal,Lingual,ninguna,ninguna,17.75,con_tejido,Estratificacion,Fluida,1.25,95.71,14.73,0.14,Sobreobturado
V,7,Lingual,ninguna,ninguna,ninguna,ninguna,11.75,con_tejido,Bulk,Bulk,2.0,152.97,19.32,-0.11,Subobturado
II,5,Mesial,Oclusal,ninguna,ninguna,ninguna,32.25,limpia,Bulk,Compuesta,3.0,124.92,6.28,0.15,Sobreobturado
II,18,Mesial,Distal,Oclusal,Lingual,ninguna,114.0,limpia,Bulk,Con fibra de vidrio,2.25,836.0,68.64,0.01,Equiobturado
IV,25,Distal,Bucal,Lingual,ninguna,ninguna,42.75,limpia,Estratificacion,Compuesta,3.25,322.24,27.02,-0.03,Subobturado
II,15,Distal,Oclusal,Lingual,ninguna,ninguna,74.25,limpia,Estratificacion,Con fibra de vidrio,4.0,579.88,23.8,0.13,Sobreobturado
II,15,Mesial,Distal,Oclusal,Bucal,ninguna,117.5,limpia,Bulk,Con fibra de vidrio,3.75,970.0,113.85,0.07,Equiobturado
II,31,Mesial,Oclusal,ninguna,ninguna,ninguna,59.25,con_tejido,Bulk,Fluida,3.0,317.75,24.22,-0.09,Subobturado
V,14,Bucal,ninguna,ninguna,ninguna,ninguna,48.25,limpia,Estratificacion,Bulk,2.25,265.58,18.55,0.2,Sobreobturado
V,31,Lingual,ninguna,ninguna,ninguna,ninguna,11.5,limpia,Bulk,Bulk,2.5,175.27,13.03,0.05,Equiobturado
I,6,Oclusal,ninguna,ninguna,ninguna,ninguna,2.75,limpia,Bulk,Compuesta,2.25,81.88,12.09,0.04,Equiobturado
II,15,Mesial,Oclusal,Lingual,ninguna,ninguna,40.0,con_tejido,Estratificacion,Bulk,1.0,250.0,24.72,0.01,Equiobturado
I,3,Bucal,ninguna,ninguna,ninguna,ninguna,3.5,con_tejido,Estratificacion,Compuesta,3.25,209.82,20.76,-0.18,Subobturado
V,8,Bucal,ninguna,ninguna,ninguna,ninguna,15.0,con_tejido,Estratificacion,Compuesta,2.25,195.62,16.58,0.02,Equiobturado
I,32,Lingual,ninguna,ninguna,ninguna,ninguna,5.25,con_tejido,Bulk,Con fibra de vidrio,2.0,116.88,12.97,-0.1,Subobturado
IV,8,Distal,Bucal,Lingual,ninguna,ninguna,15.5,con_tejido,Bulk,Con fibra de vidrio,2.0,141.36,24.75,0.01,Equiobturado
I,11,Lingual,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Estratificacion,Bulk,3.5,143.12,18.3,-0.13,Subobturado
V,18,Lingual,ninguna,ninguna,ninguna,ninguna,38.75,limpia,Bulk,Bulk,3.25,321.74,32.55,0.05,Equiobturado
I,22,Lingual,ninguna,ninguna,ninguna,ninguna,2.25,con_tejido,Bulk,Fluida,2.25,73.12,11.33,0.13,Sobreobturado
III,6,Mesial,Lingual,ninguna,ninguna,ninguna,9.75,limpia,Bulk,Fluida,1.0,49.44,5.36,0.06,Equiobturado
III,24,Mesial,Lingual,ninguna,ninguna,ninguna,15.5,limpia,Estratificacion,Bulk,2.25,138.12,8.46,0.17,Sobreobturado
V,13,Bucal,ninguna,ninguna,ninguna,ninguna,20.0,limpia,Estratificacion,Compuesta,2.25,236.25,29.56,0.13,Sobreobturado
II,14,Mesial,Oclusal,Lingual,ninguna,ninguna,66.25,con_tejido,Bulk,Compuesta,2.0,411.88,61.96,0.15,Sobreobturado
II,28,Mesial,Oclusal,ninguna,ninguna,ninguna,44.5,con_tejido,Estratificacion,Bulk,3.75,190.1,13.1,-0.12,Subobturado
I,9,Oclusal,ninguna,ninguna,ninguna,ninguna,4.75,limpia,Estratificacion,Fluida,1.25,81.88,6.8,-0.02,Subobturado
II,15,Mesial,Oclusal,Bucal,ninguna,ninguna,63.0,limpia,Estratificacion,Con fibra de vidrio,3.75,523.0,63.78,0.19,Sobreobturado
II,32,Mesial,Oclusal,ninguna,ninguna,ninguna,37.5,limpia,Bulk,Compuesta,2.5,179.23,10.02,-0.14,Subobturado
I,30,Bucal,ninguna,ninguna,ninguna,ninguna,8.75,limpia,Bulk,Compuesta,2.0,172.32,17.34,0.07,Equiobturado
II,18,Mesial,Distal,Oclusal,Bucal,ninguna,106.0,con_tejido,Estratificacion,Con fibra de vidrio,2.75,844.0,62.54,0.18,Sobreobturado
II,15,Mesial,Distal,Oclusal,Bucal,Lingual,124.0,limpia,Bulk,Bulk,2.0,1028.89,155.09,-0.12,Subobturado
II,4,Mesial,Oclusal,Bucal,ninguna,ninguna,30.25,con_tejido,Estratificacion,Fluida,2.75,193.41,18.59,0.16,Sobreobturado
II,31,Mesial,Oclusal,Lingual,ninguna,ninguna,60.75,limpia,Estratificacion,Bulk,3.25,480.12,69.33,-0.15,Subobturado
II,14,Mesial,Oclusal,Lingual,ninguna,ninguna,54.5,con_tejido,Estratificacion,Compuesta,1.5,335.75,35.19,-0.16,Subobturado
V,23,Lingual,ninguna,ninguna,ninguna,ninguna,8.25,con_tejido,Estratificacion,Bulk,1.75,108.28,6.03,0.05,Equiobturado
